# Thermal History - 10 Monitoring Points
# Columns: time(s)  T1..T10 (K)
# Point physical coordinates:
#  P 1:  x= 4.000E-04m  y= 1.000E-03m  z= 6.950E-04m
#  P 2:  x= 1.000E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 3:  x= 1.600E-03m  y= 1.000E-03m  z= 6.950E-04m
#  P 4:  x= 1.000E-03m  y= 1.000E-03m  z= 6.600E-04m
#  P 5:  x= 1.000E-03m  y= 1.000E-03m  z= 6.000E-04m
#  P 6:  x= 1.000E-03m  y= 1.050E-03m  z= 6.950E-04m
#  P 7:  x= 1.000E-03m  y= 1.200E-03m  z= 6.950E-04m
#  P 8:  x= 1.000E-03m  y= 1.500E-03m  z= 6.950E-04m
#  P 9:  x= 1.000E-03m  y= 1.800E-03m  z= 6.950E-04m
#  P10:  x= 1.000E-03m  y= 1.000E-03m  z= 2.000E-04m
#  time(s)    T 1(K)       T 2(K)       T 3(K)       T 4(K)       T 5(K)       T 6(K)       T 7(K)       T 8(K)       T 9(K)       T10(K)       
 4.28100E-03     293.000     293.032     293.000     293.175     293.198     293.006     293.001     293.001     293.002     293.000
 4.30100E-03     293.000     293.034     293.000     293.184     293.209     293.007     293.001     293.001     293.002     293.000
 4.32100E-03     293.000     293.035     293.000     293.194     293.220     293.007     293.001     293.001     293.001     293.000
 4.34100E-03     293.001     293.037     293.000     293.204     293.231     293.007     293.001     293.001     293.001     293.000
 4.36100E-03     293.001     293.039     293.000     293.215     293.243     293.007     293.001     293.001     293.001     293.000
 4.38100E-03     293.001     293.042     293.000     293.226     293.256     293.008     293.000     293.001     293.001     293.000
 4.40100E-03     293.001     293.044     293.000     293.240     293.271     293.008     293.000     293.000     293.001     293.000
 4.42100E-03     293.001     293.047     293.000     293.252     293.285     293.008     293.000     293.000     293.001     293.000
 4.44100E-03     293.001     293.049     293.001     293.265     293.299     293.009     293.000     293.000     293.001     293.001
 4.46100E-03     293.001     293.052     293.001     293.279     293.315     293.009     293.000     293.000     293.001     293.001
 4.48100E-03     293.001     293.055     293.001     293.293     293.331     293.010     293.000     293.000     293.001     293.001
 4.50100E-03     293.001     293.058     293.001     293.308     293.348     293.010     293.000     293.000     293.000     293.001
 4.52100E-03     293.001     293.061     293.001     293.324     293.365     293.011     292.999     293.000     293.000     293.001
 4.54100E-03     293.001     293.064     293.001     293.340     293.383     293.011     292.999     293.000     293.000     293.001
 4.56100E-03     293.001     293.068     293.001     293.357     293.403     293.012     292.999     293.000     293.000     293.001
 4.58100E-03     293.001     293.072     293.001     293.375     293.422     293.012     292.999     292.999     293.000     293.001
 4.60100E-03     293.001     293.080     293.001     293.413     293.464     293.014     292.999     292.999     293.000     293.001
 4.62100E-03     293.001     293.084     293.001     293.432     293.486     293.015     292.999     292.999     293.000     293.002
 4.64100E-03     293.001     293.088     293.001     293.453     293.509     293.016     292.999     292.999     292.999     293.002
 4.66100E-03     293.001     293.093     293.001     293.474     293.532     293.017     292.999     292.999     292.999     293.002
 4.68100E-03     293.001     293.098     293.001     293.497     293.557     293.018     292.998     292.999     292.999     293.002
 4.70100E-03     293.001     293.103     293.001     293.520     293.583     293.019     292.998     292.999     292.999     293.002
 4.72100E-03     293.001     293.108     293.001     293.544     293.610     293.020     292.998     292.998     292.999     293.002
 4.74100E-03     293.001     293.114     293.001     293.568     293.636     293.021     292.998     292.998     292.999     293.003
 4.76100E-03     293.001     293.120     293.001     293.594     293.665     293.022     292.998     292.998     292.999     293.003
 4.78100E-03     293.001     293.126     293.001     293.621     293.694     293.023     292.998     292.998     292.998     293.003
 4.80100E-03     293.001     293.134     293.001     293.659     293.736     293.024     292.997     292.998     292.998     293.003
 4.82100E-03     293.001     293.141     293.001     293.688     293.769     293.026     292.997     292.998     292.998     293.003
 4.84100E-03     293.001     293.149     293.001     293.719     293.803     293.027     292.997     292.998     292.998     293.004
